"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"545","인천광역시 미추홀구 용현동","572-3","0572","0003","용현동아","전세","84.5600","202409","20","15,876","0","8","1990","능해길 32","202411~202611","신규","-","","","아파트"
"546","인천광역시 미추홀구 도화동","1009","1009","0000","e편한세상도화6-1단지","월세","84.9100","202409","20","13,976","39","6","2018","숙골로88번길 46","202410~202610","신규","-","","","아파트"
"547","인천광역시 미추홀구 용현동","627-79","0627","0079","대림","전세","84.9200","202409","20","19,000","0","12","1990","낙섬중로 18","202410~202610","신규","-","","","아파트"
"548","인천광역시 미추홀구 주안동","1614","1614","0000","월드스테이트(201~205)","전세","84.9750","202409","20","37,000","0","9","2008","경원대로864번길 114","202410~202610","갱신","사용","37,000","0","아파트"
"549","인천광역시 미추홀구 용현동","572-3","0572","0003","용현동아","월세","84.5600","202409","19","2,000","80","14","1990","능해길 32","202410~202610","신규","-","","","아파트"
"550","인천광역시 미추홀구 도화동","1040","1040","0000","주안역미추홀더리브","월세","74.4711","202409","15","1,000","120","4","2023","경인로325번길 27","202409~202609","신규","-","","","아파트"
"551","인천광역시 미추홀구 주안동","1556-59","1556","0059","캐슬앤더샵","전세","84.9992","202409","15","35,000","0","6","2022","경원대로780번길 22","202409~202609","갱신","-","35,000","0","아파트"
"552","인천광역시 미추홀구 관교동","13-9","0013","0009","성지","전세","84.9450","202409","14","26,000","0","10","1991","문화로 35","202410~202610","신규","-","","","아파트"
"553","인천광역시 미추홀구 주안동","가-","0000","0000","포레나미추홀","전세","76.5267","202409","14","39,000","0","16","2022","경인로 372","202411~202611","신규","-","","","아파트"
"554","인천광역시 미추홀구 용현동","가-","0000","0000","용현자이크레스트","월세","84.9900","202409","14","5,000","140","18","2023","낙섬동로 134","202409~202609","신규","-","","","아파트"
"555","인천광역시 미추홀구 주안동","1678","1678","0000","힐스테이트푸르지오주안","월세","64.7900","202409","14","3,000","130","22","2023","남주길 150","202411~202611","신규","-","","","아파트"
"556","인천광역시 미추홀구 주안동","1628","1628","0000","주안역센트레빌","전세","74.9691","202409","14","28,500","0","24","2021","염전로 414","-","-","-","","","아파트"
"557","인천광역시 미추홀구 학익동","721","0721","0000","풍림아이원","전세","84.9767","202409","13","26,000","0","10","2007","매소홀로 340","202409~202609","갱신","-","36,000","0","아파트"
"558","인천광역시 미추홀구 용현동","가-","0000","0000","용현자이크레스트","전세","84.9900","202409","13","35,000","0","24","2023","낙섬동로 134","202409~202609","신규","-","","","아파트"
"559","인천광역시 미추홀구 학익동","125-1","0125","0001","신동아1","월세","64.2700","202409","13","2,000","65","6","1988","소성로 211","202410~202610","신규","-","","","아파트"
"560","인천광역시 미추홀구 학익동","721","0721","0000","풍림아이원","전세","84.9767","202409","13","26,000","0","10","2007","매소홀로 340","202409~202609","갱신","-","36,000","0","아파트"
"561","인천광역시 미추홀구 용현동","가-","0000","0000","용현자이크레스트","월세","74.9800","202409","13","4,000","130","6","2023","낙섬동로 134","202409~202609","신규","-","","","아파트"
"562","인천광역시 미추홀구 용현동","647","0647","0000","용현2단지금호타운","전세","84.5330","202409","13","23,000","0","6","2000","매소홀로 68","202410~202610","신규","-","","","아파트"
"563","인천광역시 미추홀구 도화동","1011","1011","0000","더샵인천스카이타워1단지","전세","84.9353","202409","12","32,000","0","34","2020","숙골로88번길 12","202411~202611","신규","-","","","아파트"
"564","인천광역시 미추홀구 용현동","627-457","0627","0457","윤성","전세","72.6900","202409","12","14,700","0","5","1993","매소홀로 143","202410~202610","신규","-","","","아파트"
